nodes,actual_density,edges,kruskal_us,prim_us,boruvka_us
50,0.04,49,0.841732,1.121938,1.765981
50,0.04,49,0.835683,1.135846,1.767413
50,0.04,49,0.832451,1.147982,1.773881
50,0.04,49,0.820566,1.139633,1.701264
50,0.08,98,1.667298,2.494918,2.69398
50,0.16,196,3.094555,4.120787,4.495113
50,0.32,392,6.396776,6.637259,8.165926
50,0.64,784,14.974881,12.011764,17.37364
100,0.02,99,1.876793,2.444824,3.763331
100,0.02,99,1.871401,2.434368,3.638227
100,0.02,99,1.838979,2.394258,3.732208
100,0.04,198,3.544525,5.607514,6.180991
100,0.08,396,6.9693,9.970354,11.247236
100,0.16,792,15.661314,18.194761,22.764142
100,0.32,1584,48.977489,33.973354,50.347113
100,0.64,3168,113.783553,61.089658,107.051202
500,0.005002,624,17.418564,34.996992,49.130909
500,0.010004,1248,47.898991,80.320831,95.401373
500,0.02,2495,96.556805,127.507241,150.302779
500,0.04,4990,198.126342,196.149998,262.947001
500,0.08,9980,383.910723,287.27634,483.95478
500,0.16,19960,845.948937,488.034026,1099.59868
500,0.32,39920,1885.835185,970.18648,2771.805317
500,0.64,79840,3985.54791,1919.88398,5330.714752
1000,0.005001,2498,112.356269,179.952091,224.633406
1000,0.01,4995,209.678773,281.251277,344.992572
1000,0.02,9990,395.735837,407.079594,587.427529
1000,0.04,19980,868.826726,652.644325,1292.624485
1000,0.08,39960,1924.536898,1178.362976,3128.670411
1000,0.16,79920,4033.839985,2170.877605,6874.194527
1000,0.32,159840,8438.549411,4156.761771,12292.675534
1000,0.64,319680,18159.90724,8115.704317,23965.463897
