nodes,actual_density,edges,kruskal_us,prim_us,boruvka_us
50,0.049796,61,0.989215,1.556393,1.92059
50,0.100408,123,1.989239,2.907413,3.138289
50,0.2,245,3.791827,4.699284,5.250245
50,0.300408,368,5.897291,6.192698,7.633872
50,0.4,490,8.091607,7.607574,10.39937
50,0.500408,613,10.44036,9.113622,12.745176
50,0.6,735,13.407079,11.082875,16.140049
50,0.700408,858,16.795604,12.822632,18.604149
50,0.8,980,20.217173,14.118239,21.099651
50,0.900408,1103,25.781886,15.778796,24.319832
100,0.050101,248,4.306965,6.702111,7.260707
100,0.1,495,8.734343,11.976278,14.320877
100,0.2,990,22.501813,22.170071,29.148623
100,0.3,1485,44.145858,31.956695,45.237357
100,0.4,1980,66.008068,40.822523,62.540459
100,0.5,2475,87.406685,50.427576,84.110549
100,0.6,2970,104.874972,58.174677,101.446444
100,0.7,3465,127.716909,67.012139,121.849827
100,0.8,3960,146.564937,74.253385,135.039669
100,0.9,4455,165.133912,81.954816,153.425894
500,0.050004,6238,245.628329,221.598499,321.465567
500,0.1,12475,496.424478,338.228784,632.494511
500,0.2,24950,1101.038423,600.996302,1512.673604
500,0.3,37425,1741.049958,901.933743,2591.780397
500,0.4,49900,2416.603406,1212.250842,3467.295753
500,0.5,62375,3086.548892,1515.012106,4162.114694
500,0.6,74850,3711.761467,1795.090335,4933.18497
500,0.7,87325,4430.112136,2121.228917,5790.596151
500,0.8,99800,5064.884457,2391.0069,6643.27412
500,0.9,112275,5773.523317,2714.218038,7619.63534
1000,0.05,24975,1121.445008,778.884418,1721.669802
1000,0.1,49950,2466.93558,1435.829113,4216.504444
1000,0.2,99900,5091.5849,2652.387753,8182.932888
1000,0.3,149850,7897.813927,3917.418625,11607.159623
1000,0.4,199800,10555.611856,5075.686476,14959.543273
1000,0.5,249750,13552.754743,6304.573773,18600.516899
1000,0.6,299700,16744.874497,7580.232658,22441.195138
1000,0.7,349650,19837.090987,8705.367269,25949.420743
1000,0.8,399600,24550.221921,10715.289106,31900.853374
1000,0.9,449550,29769.511875,12981.835643,38407.204702
